epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.935,0.91618,5.4269,0.99603,0.7281,0.02659,0.01437,0.01157,0.81439,3.77936,0.89673,0.0672308,0.000331002,0.000331002
2,51.1916,0.86448,4.37822,0.95618,0.76687,0.04983,0.04981,0.0409,0.76903,2.95873,0.901,0.0342176,0.000651182,0.000651182
3,73.4339,0.8299,3.56791,0.93952,0.54289,0.10397,0.07646,0.06261,0.76394,2.44413,0.89827,0.00119126,0.000958161,0.000958161
4,95.555,0.824,3.12606,0.9327,0.55451,0.10523,0.08298,0.06745,0.75848,2.06725,0.895,0.0009406,0.0009406,0.0009406
5,117.777,0.80481,2.79876,0.92744,0.52113,0.1532,0.11629,0.09642,0.72629,1.78487,0.90134,0.0009208,0.0009208,0.0009208
6,140.416,0.78774,2.57019,0.93357,0.45579,0.21576,0.15385,0.12759,0.71425,1.61095,0.89757,0.000901,0.000901,0.000901
7,163.358,0.76428,2.41304,0.92964,0.50643,0.19886,0.18967,0.15707,0.71198,1.50113,0.90174,0.0008812,0.0008812,0.0008812
8,195.57,0.76943,2.32718,0.9245,0.51816,0.28963,0.24014,0.19913,0.71038,1.40512,0.89623,0.0008614,0.0008614,0.0008614
9,230.569,0.7423,2.16463,0.92485,0.51509,0.26797,0.2658,0.2189,0.69386,1.32957,0.8974,0.0008416,0.0008416,0.0008416
10,256.956,0.72439,2.05304,0.91329,0.62834,0.29367,0.29512,0.24354,0.69221,1.29208,0.89649,0.0008218,0.0008218,0.0008218
11,281.443,0.71949,2.01238,0.91847,0.62945,0.30491,0.32187,0.26875,0.68566,1.21839,0.89232,0.000802,0.000802,0.000802
12,302.764,0.71651,1.95246,0.90796,0.54801,0.34434,0.36769,0.31105,0.67719,1.16252,0.89408,0.0007822,0.0007822,0.0007822
13,323.85,0.70741,1.88,0.91834,0.59916,0.38561,0.37511,0.31466,0.68414,1.1335,0.89331,0.0007624,0.0007624,0.0007624
14,344.901,0.71152,1.85257,0.9161,0.7019,0.36813,0.38665,0.32388,0.68216,1.09462,0.89087,0.0007426,0.0007426,0.0007426
15,366.117,0.71665,1.81141,0.9173,0.55961,0.39395,0.42062,0.35274,0.6732,1.05706,0.88522,0.0007228,0.0007228,0.0007228
16,387.314,0.71057,1.72663,0.91044,0.62754,0.40823,0.44411,0.37324,0.66267,1.01581,0.88695,0.000703,0.000703,0.000703
17,408.58,0.68541,1.70905,0.90916,0.62249,0.40873,0.45704,0.38537,0.65969,1.01452,0.89169,0.0006832,0.0006832,0.0006832
18,429.888,0.69212,1.65338,0.90476,0.55703,0.46628,0.44553,0.37421,0.66851,1.03147,0.88733,0.0006634,0.0006634,0.0006634
19,450.865,0.68271,1.61253,0.90852,0.64449,0.4402,0.47914,0.40473,0.65893,0.95884,0.88888,0.0006436,0.0006436,0.0006436
20,471.946,0.67908,1.64541,0.91308,0.59341,0.48694,0.50273,0.42004,0.66472,0.9396,0.8861,0.0006238,0.0006238,0.0006238
21,493.041,0.67029,1.58626,0.9054,0.63835,0.49406,0.50653,0.42298,0.6532,0.91719,0.88258,0.000604,0.000604,0.000604
22,514.222,0.66036,1.56282,0.90224,0.59592,0.53073,0.53644,0.45267,0.65584,0.89608,0.88772,0.0005842,0.0005842,0.0005842
23,535.277,0.6654,1.53676,0.89981,0.6718,0.48516,0.52662,0.43958,0.64864,0.88212,0.88397,0.0005644,0.0005644,0.0005644
24,556.517,0.6595,1.49433,0.90132,0.70099,0.51063,0.54473,0.45561,0.65141,0.88053,0.88565,0.0005446,0.0005446,0.0005446
25,577.636,0.67243,1.47103,0.905,0.74008,0.51273,0.56532,0.47556,0.65016,0.85202,0.88188,0.0005248,0.0005248,0.0005248
26,598.642,0.67303,1.47149,0.89752,0.67801,0.52643,0.57456,0.47927,0.65212,0.83968,0.88473,0.000505,0.000505,0.000505
27,619.982,0.66453,1.44495,0.89868,0.69889,0.56623,0.57311,0.47875,0.65098,0.83667,0.88441,0.0004852,0.0004852,0.0004852
28,641.542,0.66158,1.41386,0.90484,0.68448,0.58414,0.58651,0.48924,0.64871,0.81784,0.88472,0.0004654,0.0004654,0.0004654
29,662.813,0.64651,1.43233,0.90468,0.68571,0.5487,0.57605,0.48118,0.64756,0.82098,0.88196,0.0004456,0.0004456,0.0004456
30,684.067,0.64352,1.38252,0.89231,0.82924,0.52247,0.59977,0.5037,0.63566,0.7938,0.88165,0.0004258,0.0004258,0.0004258
31,705.445,0.64777,1.36227,0.89602,0.77604,0.52581,0.60809,0.50925,0.64173,0.77542,0.8806,0.000406,0.000406,0.000406
32,726.836,0.64235,1.36707,0.89588,0.73336,0.55428,0.61168,0.51457,0.64285,0.77334,0.8827,0.0003862,0.0003862,0.0003862
33,748.377,0.65061,1.36545,0.89702,0.69358,0.58965,0.62352,0.52166,0.63299,0.76175,0.88211,0.0003664,0.0003664,0.0003664
34,769.852,0.64333,1.32212,0.89835,0.71696,0.57341,0.61426,0.51092,0.63835,0.75254,0.88208,0.0003466,0.0003466,0.0003466
35,791.32,0.62119,1.32628,0.89004,0.73577,0.54963,0.63266,0.52911,0.63223,0.74894,0.88086,0.0003268,0.0003268,0.0003268
36,812.68,0.63914,1.32819,0.89274,0.7391,0.58323,0.63417,0.5301,0.63286,0.74014,0.8789,0.000307,0.000307,0.000307
37,833.763,0.63146,1.28728,0.89388,0.70419,0.59249,0.64131,0.53236,0.63147,0.73595,0.87948,0.0002872,0.0002872,0.0002872
38,854.87,0.64811,1.32117,0.88591,0.73607,0.58259,0.65492,0.54636,0.62953,0.72194,0.87659,0.0002674,0.0002674,0.0002674
39,876.02,0.61162,1.26871,0.88774,0.77664,0.5625,0.64667,0.53832,0.62729,0.72208,0.87516,0.0002476,0.0002476,0.0002476
40,897.397,0.62301,1.30822,0.89587,0.70581,0.61903,0.65626,0.54743,0.62797,0.71032,0.87899,0.0002278,0.0002278,0.0002278
41,942.584,0.60459,1.39914,0.88326,0.71189,0.6572,0.66033,0.55272,0.62864,0.72032,0.87768,0.000208,0.000208,0.000208
42,964.168,0.59779,1.35159,0.87135,0.73073,0.64245,0.66756,0.55603,0.62623,0.70849,0.87624,0.0001882,0.0001882,0.0001882
43,985.091,0.59995,1.3497,0.88018,0.78031,0.61521,0.68379,0.57166,0.625,0.68749,0.87518,0.0001684,0.0001684,0.0001684
44,1006.45,0.59004,1.33329,0.87105,0.71344,0.68745,0.67396,0.56328,0.62056,0.686,0.87503,0.0001486,0.0001486,0.0001486
45,1027.72,0.58662,1.32859,0.86808,0.73118,0.65935,0.66836,0.55934,0.62277,0.68747,0.87643,0.0001288,0.0001288,0.0001288
46,1048.87,0.59194,1.33127,0.87631,0.74714,0.65336,0.68272,0.57037,0.6223,0.68116,0.87414,0.000109,0.000109,0.000109
47,1070.58,0.58822,1.3083,0.86899,0.75435,0.65168,0.68327,0.57046,0.61995,0.67735,0.87489,8.92e-05,8.92e-05,8.92e-05
48,1092.01,0.58455,1.2898,0.86615,0.74567,0.64678,0.68958,0.57837,0.61647,0.67448,0.8741,6.94e-05,6.94e-05,6.94e-05
49,1112.92,0.5783,1.31041,0.87126,0.72216,0.68304,0.69287,0.58206,0.61702,0.66574,0.87412,4.96e-05,4.96e-05,4.96e-05
50,1133.91,0.57519,1.2856,0.86839,0.7953,0.62983,0.70549,0.59209,0.61706,0.66335,0.87465,2.98e-05,2.98e-05,2.98e-05
